genome (our names),genome (NCBI names)
Acomosus,Ananas_comosus
Ahypochondriacus,Amaranthus_hypochondriacus
Alyrata,Arabidopsis_lyrata
Aofficinalis,Asparagus_officinalis
Athaliana,Arabidopsis_thaliana
Atrichopoda,Amborella_trichopoda
Bdistachyon,Brachypodium_distachyon
Boleraceacapitata,Brassica_oleracea
Carietinum,Cicer_arietinum
Cclementina,Citrus_clementina
Cgrandiflora,Capsella_grandiflora
Cpapaya,Carica_papaya
Cquinoa,Chenopodium_quinoa
Creinhardtii,Chlamydomonas_reinhardtii
Crubella,Capsella_rubella
Csativus,Cucumis_sativus
Csinensis,Citrus_sinensis
CsubellipsoideaC169,Coccomyxa_subellipsoidea_C-169
Czofingiensis,Chromochloris_zofingiensis
Dcarota,Daucus_carota
Dsalina,Dunaliella_salina
Egrandis,Eucalyptus_grandis
Esalsugineum,Eutrema_salsugineum
Fvesca,Fragaria_vesca
Gmax,Glycine_max
Graimondii,Gossypium_raimondii
Hannuus,Helianthus_annuus
Hvulgare,Hordeum_vulgare
Kfedtschenkoi,Kalanchoe_fedtschenkoi
Lsativa,Lactuca_sativa
Lusitatissimum,Linum_usitatissimum
Macuminata,Musa_acuminata
Mdomestica,Malus_domestica
Mesculenta,Manihot_esculenta
Mguttatus,Mimulus_guttatus
Mpolymorpha,Marchantia_polymorpha
MpusillaCCMP1545,Micromonas_pusilla
MspRCC299,Micromonas_sp._RCC299
Mtruncatula,Medicago_truncatula
Oeuropaea,Olea_europaea
Olucimarinus,Ostreococcus_sp._lucimarinus
Osativa,Oryza_sativa
Othomaeum,Oropetium_thomaeum
Ppatens,Physcomitrella_patens
Ppersica,Prunus_persica
Ptrichocarpa,Populus_trichocarpa
Pumbilicalis,Porphyra_umbilicalis
Rcommunis,Ricinus_communis
Sbicolor,Sorghum_bicolor
Sitalica,Setaria_italica
Slycopersicum,Solanum_lycopersicum
Smoellendorffii,Selaginella_moellendorffii
Spolyrhiza,Spirodela_polyrhiza
Stuberosum,Solanum_tuberosum
Taestivum,Triticum_aestivum
Tcacao,Theobroma_cacao
Vcarteri,Volvox_carteri
Vvinifera,Vitis_vinifera
Zmarina,Zostera_marina
Zmays,Zea_mays